"doy","pond","site_id","vertical_m","odo_mgL","odo_sat","temp_c","barometer","sp_cond","tds","chla_RFU","chla_ugL","pc_RFU","pc_ugL"
150,"B","B3",0.325,12.92,149.8,22.6666666666667,737.9,269.4,175,1.58,6.52,0.02,-0.1
150,"B","B3",0.337,12.92,149.9,22.6666666666667,737.9,269.4,175,1.59,6.56,0.02,-0.1
150,"B","B3",0.344,12.93,149.9,22.6666666666667,737.9,269.4,175,1.6,6.61,0.02,-0.1
150,"B","B3",0.351,12.93,149.9,22.6666666666667,737.9,269.4,175,1.61,6.65,0.02,-0.1
150,"B","B3",0.367,12.94,150,22.6666666666667,737.9,269.4,175,1.62,6.69,0.02,-0.1
150,"B","B3",0.375,12.94,150,22.6666666666667,737.9,269.4,175,1.64,6.74,0.02,-0.1
150,"B","B3",0.378,12.95,150.1,22.6666666666667,737.9,269.5,175,1.66,6.84,0.02,-0.1
150,"B","B3",0.383,12.95,150.1,22.6666666666667,737.9,269.5,175,1.67,6.88,0.03,-0.09
150,"B","B3",0.395,12.96,150.2,22.6666666666667,737.9,269.5,175,1.68,6.94,0.03,-0.09
150,"B","B3",0.397,12.96,150.2,22.6666666666667,737.9,269.5,175,1.7,6.99,0.02,-0.1
150,"B","B3",0.412,12.97,150.3,22.6666666666667,737.9,269.5,175,1.72,7.09,0.03,-0.09
150,"B","B3",0.42,12.97,150.3,22.6666666666667,737.9,269.5,175,1.73,7.13,0.03,-0.09
150,"B","B3",0.426,12.98,150.4,22.6111111111111,737.9,269.5,175,1.74,7.17,0.03,-0.09
150,"B","B3",0.434,12.98,150.4,22.6111111111111,737.9,269.5,175,1.76,7.22,0.03,-0.09
150,"B","B3",0.444,12.99,150.5,22.6111111111111,737.9,269.5,175,1.78,7.31,0.03,-0.09
150,"B","B3",0.45,12.99,150.5,22.6111111111111,737.9,269.5,175,1.79,7.35,0.03,-0.09
150,"B","B3",0.456,13,150.5,22.6111111111111,737.9,269.5,175,1.8,7.39,0.04,-0.09
150,"B","B3",0.469,13,150.6,22.6111111111111,737.9,269.5,175,1.81,7.42,0.04,-0.09
150,"B","B3",0.477,13.01,150.6,22.6111111111111,737.9,269.5,175,1.83,7.52,0.04,-0.08
150,"B","B3",0.483,13.01,150.6,22.6111111111111,737.9,269.5,175,1.85,7.58,0.04,-0.08
